5_13_21_NDVI,TWI,Elevation,Slope,Insolation
0.0021484841,2.36316943,335.57244873,14.638578415,16.020399094
0.0021484841,2.10381937,335.5098877,16.129858017,16.125217438
0.0021484841,2.32409787,335.24050903,17.762067795,16.120008469
0.0021484841,2.77538133,334.92892456,17.76313591,15.890407562
0.0021484841,2.88285685,334.74957275,17.153165817,15.770616531
0.0021484841,2.42739105,335.03775024,15.38578701,16.000434875
0.0021484841,2.13393903,334.95336914,16.839811325,16.004991531
0.0021484841,2.3192637,334.66082764,18.251256943,16
0.0021484841,2.77550983,334.33425903,17.840511322,15.880425453
0.0021484841,2.90566015,334.15631104,16.876689911,15.770399094
0.0021484841,2.51496649,334.49050903,15.728087425,15.995008469
0.0021484841,2.18985033,334.38879395,17.11284256,15.995008469
0.0021484841,2.33694434,334.08578491,18.330242157,15.99934864
0.0021484841,2.79433274,333.75894165,17.637197495,15.989583015
0.0021484841,2.93255901,333.59210205,16.476221085,15.97981739
0.0021484841,2.61158657,333.9336853,16.123542786,15.875216484
0.0021484841,2.26641321,333.81735229,17.458768845,15.879991531
0.0021484841,2.38197231,333.50772095,18.623523712,15.989583015
0.0021484841,2.82929826,333.18267822,17.939256668,15.875
0.0021484841,2.96654224,333.02459717,16.894178391,15.755208015
0.0021484841,2.7057488,333.36199951,16.453866959,15.650607109
0.0021484841,2.35777736,333.23245239,17.756477356,15.765191078
0.0021484841,2.45384097,332.91317749,18.925516129,15.97981739
0.0021484841,2.88331366,332.58273315,18.301597595,15.755208015
0.0021484841,3.01785517,332.42337036,17.386810303,15.520616531
0.0113864699,1.73805201,339.12408447,34.203472137,12.895833969
0.0113864699,2.01754904,338.7454834,29.553224564,13.630860329
0.0113864699,3.32976151,338.31375122,24.159088135,14.970052719
0.0113864699,4.92426205,337.84121704,17.737501144,16.438152313
0.0113864699,6.10570049,337.46679688,10.403432846,16.98828125
0.0113864699,3.3580184,338.16049194,20.571660995,15.109158516
0.0113864699,4.2047348,337.99346924,17.131738663,15.839193344
0.0113864699,5.1276226,337.78970337,14.033666611,16.688802719
0.0113864699,6.07691383,337.51855469,10.507674217,17.208116531
0.0113864699,6.8196702,337.30371094,5.7775702477,17.249132156
0.0113864699,5.28403378,337.66317749,11.87826252,16.823350906
0.0113864699,5.74614382,337.58288574,9.926156044,17.088758469
0.0113864699,6.29171896,337.48376465,8.0963058472,17.348741531
0.0113864699,6.86699152,337.32955933,5.6228055954,17.483940125
0.0113864699,7.31096554,337.23266602,2.4952535629,17.489583969
0.0113864699,6.46035528,337.35571289,6.6643104553,17.468967438
0.0113864699,6.72125769,337.32028198,5.3773245811,17.484375
0.0113864699,7.04877377,337.28912354,4.0469675064,17.4945755
0.0113864699,7.40250635,337.24310303,2.3550407887,17.499782562
0.0113864699,7.49275923,337.22079468,0.7913250923,17.5
0.0113864699,7.13094139,337.21807861,2.3705997467,17.499782562
0.0113864699,7.33414936,337.21240234,1.7027176619,17.5
0.0113864699,7.48073626,337.21417236,1.1746013165,17.5
