5_18_21_NDVI,TWI,Elevation,Slope,Insolation
0.1708920151,3.87911963,474.96670532,3.3720500469,19.55137825
0.1708920151,3.97352195,474.94281006,2.9078214169,19.500940323
0.1708920151,4.09021902,474.91955566,2.5476901531,19.499782562
0.1708920151,4.32690287,474.90151978,2.5920834541,19.494791031
0.1708920151,4.34175205,474.89318848,3.1611194611,19.488241196
0.1433461756,3.79091883,474.87741089,4.1132926941,19.455579758
0.1433461756,3.11933732,474.81463623,4.841673851,19.340856552
0.1433461756,2.59808922,474.73562622,5.1709470749,19.248607635
0.1433461756,2.26577258,474.67584229,5.4856982231,19.251590729
0.1433461756,2.07927608,474.60333252,5.7722158432,19.484592438
0.1433461756,1.99256968,474.50610352,6.0438141823,19.727575302
0.1433461756,2.00000501,474.38693237,6.2872071266,19.859302521
0.1433461756,2.02852774,474.25128174,6.7477517128,19.976057053
0.1433461756,2.04811001,474.10455322,7.5671520233,19.904960632
0.1433461756,2.04113817,473.94650269,8.4759368896,19.720579147
0.1708920151,3.74690914,474.96624756,3.882361412,19.614257812
0.1708920151,3.92156076,474.91000366,3.4974212646,19.498336792
0.1708920151,4.07192087,474.85852051,3.1762332916,19.484809875
0.1708920151,4.12335873,474.81970215,3.3392493725,19.369791031
0.1708920151,3.96860337,474.79196167,3.9663743973,19.254936218
0.1433461756,3.44761848,474.75280762,5.1509084702,19.243543625
0.1433461756,2.93186235,474.64883423,6.5233860016,19.118761063
0.1433461756,2.66152501,474.53216553,7.18968153,18.885145187
0.1433461756,2.46010804,474.45983887,7.4107398987,18.765625
0.1433461756,2.26811552,474.38540649,7.6464233398,18.885416031
0.1433461756,2.19734001,474.28979492,7.8561358452,19.129774094
0.1433461756,2.18864179,474.17346191,8.0344581604,19.370008469
0.1433461756,2.20703959,474.03982544,8.2212743759,19.606264114
0.1433461756,2.23525,473.89230347,8.6665258408,19.650379181
0.1433461756,2.31713939,473.73400879,9.2822360992,19.483688354
0.1708920151,3.61258888,474.91809082,4.1957392693,19.679225922
0.1708920151,3.86525941,474.82849121,4.2041959763,19.377748489
0.1708920151,4.08129835,474.74996948,4.3492016792,19.25
0.1708920151,4.12662935,474.68515015,4.8234653473,19.130208969
0.1708920151,3.89639044,474.63287354,5.5209050179,19.015407562
0.1433461756,3.42029667,474.56637573,6.8961453438,19.004991531
0.1433461756,3.00043297,474.41992188,8.3861579895,18.875217438
0.1433461756,2.8979969,474.26489258,8.8998908997,18.6304245
0.1433461756,2.7053318,474.17776489,8.9654874802,18.395616531
0.1433461756,2.46825361,474.09927368,9.1526203156,18.395833969
0.1433461756,2.35563231,474.0038147,9.3056755066,18.6304245
0.1433461756,2.32830763,473.88949585,9.4186458588,18.770616531
0.1433461756,2.33901954,473.7578125,9.5273456573,19.015480042
0.1433461756,2.38412333,473.61068726,9.6805515289,19.252567291
0.1433461756,2.59752917,473.45147705,9.7700386047,19.278833389
0.1708920151,3.58377695,474.82394409,4.7307667732,19.612304688
0.1708920151,3.86426663,474.70410156,5.1346330643,19.145507812
0.1708920151,4.14659119,474.59634399,5.4940743446,19.015190125
0.1708920151,4.28582382,474.50704956,5.8491191864,19.005208969
0.1708920151,4.02610302,474.43127441,6.5170893669,19.000217438
0.1433461756,3.48480082,474.33520508,8.0702409744,18.9897995
0.1433461756,3.15859556,474.14758301,9.6292037964,18.754991531
0.1433461756,3.141047,473.95602417,9.9033470154,18.505208969
0.1433461756,2.94797564,473.85290527,9.7546920776,18.260416031
0.1433461756,2.67595768,473.76977539,9.8566017151,18.145616531
0.1433461756,2.51956367,473.67532349,9.9078550339,18.370225906
0.1433461756,2.46659946,473.56488037,9.8903627396,18.5102005
0.1433461756,2.46999621,473.43759155,9.8588485718,18.760198593
0.1433461756,2.54546475,473.29379272,9.8644971848,19.114692688
0.1433461756,2.86459756,473.13632202,9.8317260742,19.241409302
0.1708920151,3.68462157,474.71099854,5.413105011,19.3852005
0.1708920151,3.92024851,474.55856323,5.7890563011,19.025608063
0.1708920151,4.20490026,474.42120361,6.0713605881,19.000434875
0.1708920151,4.32668447,474.31454468,6.4384436607,19
0.1708920151,4.13762665,474.22055054,7.2896375656,19
0.1433461756,3.73263979,474.09237671,9.0743970871,18.989583969
0.1433461756,3.44514441,473.86462402,10.644251823,18.749782562
0.1433461756,3.40738916,473.63845825,10.623231888,18.495008469
0.1433461756,3.20288515,473.51837158,10.209540367,18.245225906
0.1433461756,2.88888693,473.431427,10.198057175,18.020399094
0.1433461756,2.68022203,473.34124756,10.146197319,18.134983063
0.1433461756,2.58849239,473.24023438,10.000660896,18.370008469
0.1433461756,2.57316732,473.12472534,9.8255386353,18.619791031
0.1433461756,2.66678929,472.99261475,9.6902179718,18.976055145
0.1433461756,3.05047774,472.84533691,9.7405500412,19.143795013
0.1031021923,4.80650139,490.75076294,3.1208319664,19.886152267
0.1031021923,4.88042688,490.73968506,3.1913175583,19.869180679
0.1031021923,4.72569036,490.7121582,3.4637544155,19.814764023
0.1031021923,4.43762159,490.66555786,3.9162640572,19.8397789
0.1031021923,4.07227468,490.59384155,4.5294351578,19.918186188
0.1031021923,3.76089931,490.48852539,5.2464551926,19.984071732
0.1031021923,3.45468807,490.34057617,6.0477666855,20
0.1031021923,3.00565386,490.13531494,7.1620416641,20
0.1031021923,2.6033473,489.90563965,8.5676651001,20
0.1031021923,2.39779449,489.64254761,9.6318998337,20
0.1177767962,2.37920284,489.31329346,10.054883003,20
0.1177767962,2.47128224,488.9602356,10.209825516,20
0.1177767962,2.59901643,488.60354614,10.314620972,20
0.1177767962,2.74600387,488.24060059,10.401514053,20
0.1177767962,2.89472103,487.8762207,10.296051979,20
0.1276041716,3.03781915,487.52087402,9.8895654678,20
0.1276041716,3.18801785,487.18624878,9.1471090317,20
0.1276041716,3.33778977,486.88439941,8.0685758591,20
0.1276041716,3.60233021,486.62664795,6.7054581642,20
0.1276041716,3.93362236,486.42184448,5.324950695,20
0.1276041716,4.3453989,486.27365112,3.8716847897,19.997667313
0.1276041716,4.71119499,486.1802063,2.4747784138,19.946018219
